Source,Target,Weight
D. Modugno,F. Migliacci,9
D. Modugno,R. Pazzaglia,10
M. G. Gili,L. Barazzetti,10
M. G. Gili,M. Panzeri,2
M. Munzi,A. Ventura,2
M. Munzi,M. Conti,2
Sentacruz,Querencio,6
Sentacruz,S. Grieco,7
Sentacruz,F. Specchia,7
Sentacruz,Zacar,17
M. Malavasi,A. Sandri,4
M. Malavasi,Leozed,14
M. Malavasi,D. Milani,7
R. Riefoli,G. Dati,4
R. Riefoli,G. Bigazzi,2
G. Castellani,C. Concina,2
S. Dall'Ora,S. Boffa,6
J. M. Maiello Ferry,J. Maiello Ferry,10
V. Catanzaro,R. Pagliarulo,4
V. Catanzaro,S. Benussi,10
F. Zampaglione,R. Sinigallia,3
L. Beretta,A. Celentano,3
L. Beretta,E. Sciorilli,9
L. Beretta,M. Del Prete,9
L. Beretta,G. Intra,9
L. Beretta,Gippi,9
L. Beretta,M. Panzeri,9
L. Beretta,N. de Luca,4
P. Calvi,B. Pallesi,6
E. Fratini,L. Silvi,8
E. Fratini,S. Cenci,6
E. Fratini,F. Migliacci,6
R. Costa,M. Alemanno,8
R. Costa,L. Dalla,13
M. Paulicelli,G. Mauro,6
M. Paulicelli,A. Giordano,5
Comas,A. Bella,5
P. Pallottino,L. Dalla,5
F. Berlincioni,F. Leali,5
F. Berlincioni,S. Bardotti,2
F. Berlincioni,I. Ianne,7
F. Berlincioni,A. Carrisi,9
F. Berlincioni,A. Cogliati,3
F. Berlincioni,V. Tosetto,3
F. Berlincioni,S. Iodice,3
F. Berlincioni,G. Fasano,10
F. Berlincioni,F. Ciani,10
L. Sala,E. Palmosi,10
D. Backy,D. Mariano,3
D. Backy,Mogol,3
F. Palmieri,A. Civai,3
F. Palmieri,G. Bigazzi,8
A. Mango,A. Salerno,8
A. Mango,P. Mango,8
A. Mango,G. Mango,8
A. Fresa,Pacifico,8
A. Fresa,Bungaro,8
C. Cofani,Laurex,9
C. Cofani,F. Evangelisti,9
L. Baglioni,M. Baglioni,7
L. Baglioni,L. Piscopo,7
N. Fabi,C. Dazzi,4
N. Fabi,D. Sinigallia,4
N. Fabi,R. Sinigallia,9
L. Mattioni,P. Meneguzzo,9
L. Mattioni,R. Di Bella,8
L. Mattioni,D. Melotti,4
F. Leali,S. Bardotti,9
F. Leali,I. Ianne,9
F. Leali,M. Schembri,9
F. Leali,V. Tosetto,9
F. Leali,V. Pallavicini,9
F. Leali,L. Sepe,10
F. Leali,E. Malepasso,10
F. Leali,T. Cutugno,3
F. Leali,G. Fasano,2
F. Leali,F. Ciani,9
C. A. Rossi,V. Pallavicini,9
C. A. Rossi,Biri,9
C. A. Rossi,A. Papetti,9
C. A. Rossi,A. Testa,8
S. Testi,R. Musumarra,9
S. Testi,D. Pinelli,8
S. Testi,L. Carnacina,10
S. Testi,Cashin,9
S. Testi,M. Colucci,19
J. Fontana,M. Cantini,28
J. Fontana,L. Greco,4
J. Fontana,C. Pes,4
J. Fontana,F. Migliacci,1
M. Z. Granieri,R. Siani,10
M. Natale,L. Bonometti,9
M. Natale,P. Cassano,9
M. Natale,F. Salvi,10
A. Celentano,M. Del Prete,2
A. Celentano,L. Fulci,2
A. Celentano,P. Vivarelli,8
A. Celentano,N. de Luca,8
U. Fusco,M. Panzeri,4
A. De Carmine,M. Spenillo,5
M. Luberti,E. Fusco,5
A. Sandri,Leozed,27
S. Mineo,E. Mineo,9
P. Frescura,A. De Sanctis,7
G. Di Michele,R. Casale,3
G. Di Michele,G. Restelli,4
G. Anelli,G. Belleno,7
G. Anelli,A. Cogliati,9
G. Anelli,V. De Scalzi,22
G. Anelli,F. Fasano,3
A. Fragna,N. Rastelli,7
S. Di Nardo,M. Marrocchi,2
S. Di Nardo,A. De Sanctis,9
K. Ammar,P. Frassi,8
E. Sciorilli,Gippi,4
E. Sciorilli,D. Calcagno,9
E. Sciorilli,A. Testa,2
G. Fiorelli,M. Ruccione,2
S. Cristicchi,G. Ortenzi,6
S. Cristicchi,N. Brunialti,6
S. Cristicchi,E. Marcelli,6
V. Tariciotti,M. Marrocchi,6
V. Tariciotti,Petaluma,6
V. Tariciotti,F. Migliacci,6
C. Di Domenico,F. Ricci,2
C. Di Domenico,A. Drusian,3
A. Di Zio,G. Di Tonno,3
F. Palazzolo,F. Migliacci,2
F. Arnò,M. Ayane,8
F. Arnò,Pacifico,8
A. Bavo,M. Zangirolami,7
A. Bavo,A. Bonomo,8
A. Bavo,M. Mudimbi,7
A. Bavo,F. Vaccari,3
A. Bavo,P. Miano,16
S. Cossu,C. Marrale,3
S. Cossu,M. Bassi,3
S. Cossu,L. Valente,8
S. Cossu,A. Stellita,8
M. Cantini,L. Greco,8
M. Cantini,F. Migliacci,8
D. Rettore,C. Rego,1
D. Rettore,Cheope,1
M. Mariotti,A. Mari,9
M. Marrocchi,S. Bardotti,9
M. Marrocchi,G. Cassia,6
M. Marrocchi,Petaluma,6
M. Marrocchi,F. Migliacci,1
M. Marrocchi,M. Vicari,1
M. Marrocchi,A. De Sanctis,1
S. Ortone,P. Finà,10
R. Gianco,G. Pieretti,2
N. Ravasini,N. Salerno,2
N. Ravasini,Biri,10
L. Urbani,G. D'Amora,4
M. Del Freo,D. Marchetti,3
L. Chiaravalli,A. Bonomo,4
L. Chiaravalli,F. Ilacqua,4
L. Chiaravalli,G. Curreri,10
L. Chiaravalli,G. Fazio,3
L. Chiaravalli,G. Anania,3
L. Chiaravalli,F. Bianconi,10
L. Chiaravalli,S. Grandi,10
